word,month,avg. occurences per magazine
before,1,0.400
before,2,0.364
before,3,0.167
before,4,0.100
before,5,0.182
before,6,0.364
before,7,0.462
before,9,0.167
before,10,0.300
before,11,0.500
before,12,0.143
afermath,1,24.100
afermath,2,24.182
afermath,3,22.583
afermath,4,23.400
afermath,5,21.909
afermath,6,23.273
afermath,7,21.231
afermath,8,22.417
afermath,9,30.750
afermath,10,23.600
afermath,11,24.000
afermath,12,21.429
austria,2,0.364
austria,3,0.250
austria,4,0.300
austria,5,0.455
austria,6,0.091
austria,7,0.154
austria,8,0.083
austria,9,0.250
austria,10,0.200
austria,11,0.125
austria,12,0.143
bread,1,0.200
bread,2,1.000
bread,6,0.091
bread,7,0.231
bread,8,0.083
bread,9,0.667
bread,10,0.700
bread,11,0.875
bread,12,0.143
kitchen,1,6.000
kitchen,2,7.909
kitchen,3,5.167
kitchen,4,7.500
kitchen,5,4.636
kitchen,6,6.818
kitchen,7,6.846
kitchen,8,6.500
kitchen,9,10.667
kitchen,10,6.600
kitchen,11,8.125
kitchen,12,8.429
sunken,1,0.200
sunken,2,0.182
sunken,3,0.083
sunken,4,0.100
sunken,6,0.091
sunken,7,0.154
sunken,8,0.333
sunken,9,0.083
sunken,10,0.100
sunken,11,0.500
sunken,12,0.429