word,year,avg. occurences per magazine
before,2017,0.278
before,2018,0.450
before,2019,0.320
before,2020,0.160
before,2021,0.150
before,2022,0.211
afermath,2017,20.778
afermath,2018,24.450
afermath,2019,21.200
afermath,2020,21.800
afermath,2021,24.850
afermath,2022,29.789
austria,2017,0.167
austria,2018,0.300
austria,2019,0.240
austria,2020,0.240
austria,2021,0.100
austria,2022,0.158
bread,2017,0.611
bread,2018,0.100
bread,2019,0.560
bread,2020,0.160
bread,2021,0.400
bread,2022,0.105
kitchen,2017,8.833
kitchen,2018,6.750
kitchen,2019,7.800
kitchen,2020,6.520
kitchen,2021,6.700
kitchen,2022,5.737
sunken,2017,0.167
sunken,2018,0.100
sunken,2019,0.400
sunken,2020,0.200
sunken,2022,0.105